"// Phenotype data set from Mouse Phenome Database (phenome.jax.org)",,,,,,,,
"// Data set: Willott1    Title: Startle and prepulse inhibition survey of 40 inbred strains of mice    Year: 2002",,,,,,,,
"// Table of individual animal values",,,,,,,,,,,
"// For more info on these data visit phenome.jax.org and type Willott1 into search box",,,,,,,,,,
,,,,,,,,,,,
strain,sex,id,round,bw,PPI_4,PPI_12,PPI_20,PPI_tot,ASR_70,ASR_80,ASR_90,ASR_100,ASR_latency,ASR_habituation
129S1/SvImJ,f,F103,all,,0.3745,0.274,0.245,0.8925,134.5,254,340.5,706.5,31.45,0.446
129S1/SvImJ,f,F104,all,,0.9875,0.966,0.814,2.765,158.5,232,251.5,223.5,27.7,0.662
129S1/SvImJ,f,F105,all,,0.299,0.14685,0.10895,0.5545,70.85,91.15,379,721.5,35.2,1.101
129S1/SvImJ,f,F106,all,,0.572,0.43,0.372,1.3755,197.5,188.5,400.5,498,28.45,0.526
129S1/SvImJ,f,F107,all,,0.9565,0.611,0.5345,2.105,79.85,150,240,237.5,27.7,0.571
129S1/SvImJ,f,F108,all,,0.3225,0.14,0.1325,0.5945,100.85,206.5,458,689.5,32.8,0.719
129S1/SvImJ,f,F109,all,,1.0345,1.013,0.636,2.68,83.35,131.85,280.5,254.5,30.75,0.247
129S1/SvImJ,f,F110,all,,0.63,0.2535,0.191,1.0765,153,202,425.5,732,32.45,0.641
129S1/SvImJ,f,P667,all,19.7,0.5205,0.67,0.618,1.805,72.7,108.85,129.5,134,28.55,0.685
129S1/SvImJ,f,P669,all,16.2,0.387,0.29,0.3415,1.0195,69.85,101,157,291.5,25.85,0.513
129S1/SvImJ,m,F100,all,,0.732,0.6615,0.598,1.99,145.5,136.85,363,301,27.25,0.529
129S1/SvImJ,m,F101,all,,0.6025,0.4365,0.6125,1.65,83.3,207.5,242,245,29.1,1.068
129S1/SvImJ,m,F102,all,,0.846,1.001,1.0345,2.88,76.15,261.5,508,447,25.4,0.820
129S1/SvImJ,m,F95,all,,0.3665,0.299,0.2005,0.865,100.65,139,167,630.5,28.9,0.224
129S1/SvImJ,m,F96,all,,0.52,0.305,0.232,1.0565,252.5,218,327,1273,30.15,1.642
129S1/SvImJ,m,F97,all,,0.6775,0.3675,0.411,1.46,154,292.5,503,975,26.7,0.645
129S1/SvImJ,m,F98,all,,0.838,0.2068,0.22,1.265,107.65,134.5,1008,1311,29,3.597
129S1/SvImJ,m,F99,all,,0.968,0.599,0.4435,2.015,90,158.5,174,354,35.05,0.485
129S1/SvImJ,m,P678,all,22.4,0.306,0.398,0.1845,0.8885,109.15,105.85,157.5,640.5,27.35,1.486
129S1/SvImJ,m,P679,all,22,0.3125,0.2485,0.1525,0.7135,90.5,137,736,647.5,26.55,1.701
A/J,f,F79,all,,1.445,0.587,0.8465,2.885,77.85,151.5,686,557.5,26.8,0.769
A/J,f,F80,all,,0.93,0.37,0.62,1.92,61.15,198,634,840.5,28.35,1.156
A/J,f,F81,all,,0.94,1.165,0.8355,2.94,79.5,463,1021,923,29.15,0.613
A/J,f,F82,all,,1.105,0.486,0.527,2.12,82.65,230,960,1415,35.95,0.735
A/J,f,F83,all,,1.435,0.7115,0.8695,3.015,59.65,136,391.5,870,27.25,0.641
A/J,f,F84,all,,1.0215,0.3665,0.4195,1.805,75,423,1168.5,965.5,41.2,1.330
A/J,f,F85,all,,0.7135,0.5315,0.7585,2.005,59.65,91.5,873,1709,35.9,0.877
A/J,f,F86,all,,0.9175,0.326,0.4435,1.69,34,222.35,432,671.5,37,1.355
A/J,f,P41,all,17.8,1.0245,0.512,0.3495,1.885,39.15,192.85,570,930.5,22.5,0.943
A/J,f,P44,all,17.5,0.9965,0.4915,0.381,1.87,59.65,161.5,439.5,717.5,13.32,0.662
A/J,m,F87,all,,0.8955,0.396,0.736,2.025,91.15,211.5,610,1081,28.1,1.153
A/J,m,F88,all,,0.858,0.1995,0.4335,1.49,49.65,292.5,438.5,955,35,0.690
A/J,m,F89,all,,0.819,0.432,0.706,1.96,106.65,226.5,955.5,1347.5,26.75,0.433
A/J,m,F90,all,,0.911,0.5105,0.6965,2.12,66.2,120.35,703.5,726,29.15,1.129
